paper_id,filename,title,authors,booktitle
2,http:///dimacs.rutgers.edu/techps/1994/94-07.ps,"Computers and Intractibility: A Guide to the Theory of NP-Completeness, W.H.","M.R. Garey & D.S. Johnson,",
16,http:///www.cs.wisc.edu/~fischer/ftp/pub/tech-reports/ncstrl.uwmadison/CS-TR-90-907/CS-TR-90-907.ps.Z,"'A Study of Three Alternative Workstation-Server Architectures for Object-Oriented Database Systems',","D. DeWitt, P. Futtersack, D. Maier, F. Velez,","Proceedings of the 16th International Conferece on Very Large Data Bases,"
18,http://ftp://ftp.cs.purdue.edu/pub/hosking/papers/oopsla93.ps.gz,"'Object Fault Handling for Persistent Programming Languages: A Performance Evaluation',","A. Hosking, J. E. B. Moss,","Proceedings of the ACM Conference on Object-Oriented Programming Systems and Languages (OOPSLA),"
18,http://ftp://ftp.cs.umass.edu/pub/osl/papers/oopsla93.ps.Z,"'Object Fault Handling for Persistent Programming Languages: A Performance Evaluation',","A. Hosking, J. E. B. Moss,","Proceedings of the ACM Conference on Object-Oriented Programming Systems and Languages (OOPSLA),"
18,http:///cobar.cs.umass.edu/pubfiles/ds7.ps.gz,"'Object Fault Handling for Persistent Programming Languages: A Performance Evaluation',","A. Hosking, J. E. B. Moss,","Proceedings of the ACM Conference on Object-Oriented Programming Systems and Languages (OOPSLA),"
20,http:///www.pmg.lcs.mit.edu/papers/dist-mgmt.ps.gz,Distributed Object Management in Thor.,"Liskov B., Day M., Shrira L.",Distributed Object Management.
20,http:///www.pmg.lcs.mit.edu/papers/thor.ps.gz,Distributed Object Management in Thor.,"Liskov B., Day M., Shrira L.",Distributed Object Management.
22,http:///www.pmg.lcs.mit.edu/papers/osdi94-opplog.ps.gz,"'Opportunistic Log: Efficient Installation Reads in a Reliable Storage Server',","J. O\'Toole, L. Shrira,","USENIX Symposium on Operating Systems Design and Implementation (OSDI),"
22,http:///www.psrg.lcs.mit.edu/ftpdir/pub/james/papers/osdi-final.ps,"'Opportunistic Log: Efficient Installation Reads in a Reliable Storage Server',","J. O\'Toole, L. Shrira,","USENIX Symposium on Operating Systems Design and Implementation (OSDI),"
22,http:///www.psrg.lcs.mit.edu/~james/drafts/asplos-submission.ps,"'Opportunistic Log: Efficient Installation Reads in a Reliable Storage Server',","J. O\'Toole, L. Shrira,","USENIX Symposium on Operating Systems Design and Implementation (OSDI),"
25,http://file://ftp.cs.wisc.edu/tech-reports/reports/92/tr1093.ps.Z,A performance study of alternative object faulting and pointer swizzling strategies.,S. J. White and D. J. DeWitt.,"In Proceedings of the 18th VLDB Conference,"
25,http:///www.cs.wisc.edu/~fischer/ftp/pub/tech-reports/ncstrl.uwmadison/CS-TR-92-1093/CS-TR-92-1093.ps.Z,A performance study of alternative object faulting and pointer swizzling strategies.,S. J. White and D. J. DeWitt.,"In Proceedings of the 18th VLDB Conference,"
26,http://ftp://ftp.cs.utexas.edu/pub/garbage/swizz.ps,Pointer swizzling at page fault time: Efficiently supporting huge address spaces on standard hardware.,"Wilson, P. R.",
26,http:///http.cs.berkeley.edu/~asah/papers/other/to-read/swizz.ps.gz,Pointer swizzling at page fault time: Efficiently supporting huge address spaces on standard hardware.,"Wilson, P. R.",
35,http:///www.cis.ohio-state.edu/lair/TechReports/93-pa-ep93.ps,"Genetic Algorithms in Search, Optimization and Machine Learning.",D. Goldberg.,
35,http:///www.cs.purdue.edu/coast/archive/clife/GA/docs/tcga91-2.ps.gz,"Genetic Algorithms in Search, Optimization and Machine Learning.",D. Goldberg.,
40,http:///www.bioele.nuee.nagoya-u.ac.jp/wec/papers/files/lee.ps.gz,Dynamic control of genetic algorithms using fuzzy logic techniques.,Michael A. Lee and Hideyuki Takagi.,"In 5th Int\'l Conference on Genetic Algorithms (ICGA\'93),"
51,http://ftp://ftp.cs.cmu.edu/project/mach/doc/unpublished/sched.concur.ps,"'Scheduling Support for Concurrency and Parallelism in the Mach Operating System,'","D. L. Black,",
54,http:///www.cs.washington.edu/homes/karlin/papers/spinlock.ps,Empirical Studies of Competitive Spinning for Shared Memory Multiprocessors.,"Karlin, A. R., Li, K., Manasse, M., and Owicki, S.","In Proceedings of the Thirteenth ACM Symposium on Operating Systems Principles,"
56,http://ftp://ftp.cs.toronto.edu/pub/parallel/Krieger_etal_ICPP93.ps.Z,A Fair Fast Scalable Reader-Writer Lock.,"O. Krieger, M. Stumm, and R. Unrau.","In Proceedings of the 1993 International Conference on Parallel Processing,"
59,http://ftp://ftp.cs.rochester.edu/pub/papers/systems/91.SOSP.Psyche_First_Class_Threads.ps.Z,First-Class User-Level Threads.,"Marsh, B., Scott, M., LeBlanc, T., and Markatos, E.","In Proceedings of the Thirteenth ACM Symposium on Operating Systems Principles,pages 110-121,Pacific Grove,"
59,http:///www.cc.gatech.edu/fac/Mustaque.Ahamad/courses/papers/Psyche_First_Class_Threads.ps.gz,First-Class User-Level Threads.,"Marsh, B., Scott, M., LeBlanc, T., and Markatos, E.","In Proceedings of the Thirteenth ACM Symposium on Operating Systems Principles,pages 110-121,Pacific Grove,"
60,http://ftp://ftp.cs.rochester.edu/pub/papers/systems/91.TOCS.Scalable_Synch.ps.Z,Algorithms for scal able synchronization on shared-memory multiprocessors.,John M. Mellor-Crummey and Michael L. Scott.,
60,http:///www.cc.gatech.edu/fac/Mustaque.Ahamad/courses/papers/91.TOCS.Scalable_Sync.ps.gz,Algorithms for scal able synchronization on shared-memory multiprocessors.,John M. Mellor-Crummey and Michael L. Scott.,
62,http://ftp://ftp.cs.rochester.edu/pub/papers/systems/93.tr454.scalable_spin_locks.ps.Z,Scalable spin locks for multiprogrammed systems.,"R. Wisniewski, L. Kontothanassis, and M. Scott.","In Proceedings of the Eighth International Parallel Processing Symposium,"
65,http://ftp://ftp.cag.lcs.mit.edu/pub/papers/mitalewife.ps.Z,The MIT Alewife machine: A large-scale distributed-memory processor.,"Anant Agarwal, David Chaiken, Godfrey D\'Souza, Kirk John-son, David Kranz, John Kubiatowicz, Kiyoshi Kurihara, Beng-Hong Lim, Gino Maa, Dan Nussbaum, Mike Parkin, and Donald Yeung.",
80,http://ftp://ftp.cs.uoregon.edu/pub/lo/oregami.ps.Z,Software tools for mapping parallel computations to parallel architectures.,"Virginia M. Lo, Sanjay Rajopadhye, and et. al. Oregami:",
91,http://ftp://ftp.cs.arizona.edu/xkernel/Papers/pathfinder.ps,A pattern-based packet classifier.,"M. L. Bailey, B. Gopal, P. Sarkar, M. A. Pagels, and L. L. Peterson. Pathfinder:","In Proceedings of the 1 st Symposium on Operating System Design and Implementation. USENIX,"
91,http:///www.cs.berkeley.edu/~alanm/CP/bailey.osdi1.94.ps,A pattern-based packet classifier.,"M. L. Bailey, B. Gopal, P. Sarkar, M. A. Pagels, and L. L. Peterson. Pathfinder:","In Proceedings of the 1 st Symposium on Operating System Design and Implementation. USENIX,"
95,http://ftp://cag.lcs.mit.edu/pub/dm/papers/engler:exokernel.ps.gz,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
95,http:///arch.cs.ucdavis.edu/~chong/250C/os/exokernel-sosp95.ps,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
95,http:///elysium.cs.ucdavis.edu/~nico/seminar/papers/exokernel-sosp95.ps.gz,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
